open_time,open,high,low,close,volume,close_time,Signal,SignalTrade,AfterCare,RiskTrigger
2025-06-22 23:48:00,99319.6,99323.1,99316.7,99323.1,1.696,2025-06-22 23:48:59.999000,,,,
2025-06-22 23:49:00,99319.8,99539.1,99319.8,99348.6,158.891,2025-06-22 23:49:59.999000,,,,
2025-06-22 23:50:00,99348.5,99349.4,99318.0,99328.4,7.791,2025-06-22 23:50:59.999000,,,,
2025-06-22 23:51:00,99324.1,99339.0,99314.0,99330.1,9.214,2025-06-22 23:51:59.999000,,,,
2025-06-22 23:52:00,99330.5,99341.5,99320.1,99322.4,15.596,2025-06-22 23:52:59.999000,,,,
2025-06-22 23:53:00,99320.3,99335.7,99143.6,99146.4,34.305,2025-06-22 23:53:59.999000,,,,
2025-06-22 23:54:00,99143.7,99197.3,99143.2,99187.7,7.644,2025-06-22 23:54:59.999000,,,,
2025-06-22 23:55:00,99187.7,99187.7,99169.1,99184.9,6.477,2025-06-22 23:55:59.999000,,,,
2025-06-22 23:56:00,99184.9,99197.7,99182.4,99186.8,5.997,2025-06-22 23:56:59.999000,,,,
2025-06-22 23:57:00,99186.8,99190.0,99159.9,99159.9,5.776,2025-06-22 23:57:59.999000,,,,
2025-06-22 23:58:00,99160.0,99352.1,99076.2,99084.7,99.643,2025-06-22 23:58:59.999000,,,,
2025-06-22 23:59:00,99084.7,99194.2,98802.6,98893.4,208.349,2025-06-22 23:59:59.999000,,,,
2025-06-23 00:00:00,98893.4,99052.8,98800.0,99034.2,107.879,2025-06-23 00:00:59.999000,,,,
2025-06-23 00:01:00,99029.9,99034.2,98981.4,98981.4,24.334,2025-06-23 00:01:59.999000,,,,
2025-06-23 00:02:00,98982.2,99038.0,98860.0,98917.7,31.455,2025-06-23 00:02:59.999000,,,,
2025-06-23 00:03:00,98920.1,98984.6,98875.9,98984.6,22.579,2025-06-23 00:03:59.999000,,,,
2025-06-23 00:04:00,98984.5,99024.9,98973.9,99009.6,16.752,2025-06-23 00:04:59.999000,,,,
2025-06-23 00:05:00,99011.4,99118.8,99007.8,99118.7,30.9,2025-06-23 00:05:59.999000,,,,
2025-06-23 00:06:00,99118.7,99175.0,99118.7,99158.4,24.155,2025-06-23 00:06:59.999000,,,,
2025-06-23 00:07:00,99158.4,99180.2,99156.0,99166.4,12.145,2025-06-23 00:07:59.999000,,,,
2025-06-23 00:08:00,99166.2,99166.4,99119.2,99127.8,12.215,2025-06-23 00:08:59.999000,,,,
2025-06-23 00:09:00,99129.2,99297.5,99127.8,99229.5,45.375,2025-06-23 00:09:59.999000,,,,
2025-06-23 00:10:00,99229.5,99233.2,99187.7,99192.5,19.296,2025-06-23 00:10:59.999000,,,,
2025-06-23 00:11:00,99193.1,99205.6,99082.2,99082.2,30.708,2025-06-23 00:11:59.999000,,,,
2025-06-23 00:12:00,99082.3,99088.5,98960.0,98960.0,20.361,2025-06-23 00:12:59.999000,,,,
2025-06-23 00:13:00,98960.0,99064.6,98947.8,99042.1,16.732,2025-06-23 00:13:59.999000,,,,
2025-06-23 00:14:00,99039.1,99039.1,98937.4,98937.6,33.941,2025-06-23 00:14:59.999000,,,,
2025-06-23 00:15:00,98937.6,98955.1,98935.2,98947.9,5.061,2025-06-23 00:15:59.999000,,,,
2025-06-23 00:16:00,98940.1,98940.4,98908.1,98908.1,12.956,2025-06-23 00:16:59.999000,,,,
2025-06-23 00:17:00,98908.1,98910.7,98821.3,98833.1,21.004,2025-06-23 00:17:59.999000,,,,
2025-06-23 00:18:00,98835.6,98861.2,98611.4,98824.2,452.018,2025-06-23 00:18:59.999000,,,,
2025-06-23 00:19:00,98824.2,98824.2,98799.6,98814.8,8.431,2025-06-23 00:19:59.999000,,,,
2025-06-23 00:20:00,98820.0,98918.6,98817.2,98918.6,11.5,2025-06-23 00:20:59.999000,,,,
2025-06-23 00:21:00,98918.6,99101.6,98917.1,98938.8,209.337,2025-06-23 00:21:59.999000,,,,
2025-06-23 00:22:00,98938.8,98938.8,98903.8,98903.8,16.475,2025-06-23 00:22:59.999000,,,,
2025-06-23 00:23:00,98903.4,98914.2,98829.4,98829.4,27.459,2025-06-23 00:23:59.999000,,,,
2025-06-23 00:24:00,98831.9,98835.7,98664.3,98664.3,57.318,2025-06-23 00:24:59.999000,,,,
2025-06-23 00:25:00,98666.8,98725.8,98571.9,98651.4,56.597,2025-06-23 00:25:59.999000,,,,
2025-06-23 00:26:00,98651.4,98692.9,98648.9,98692.9,20.612,2025-06-23 00:26:59.999000,,,,
2025-06-23 00:27:00,98692.9,98758.6,98692.9,98725.5,26.042,2025-06-23 00:27:59.999000,,,,
2025-06-23 00:28:00,98725.5,98820.4,98707.8,98766.5,30.577,2025-06-23 00:28:59.999000,,,,
2025-06-23 00:29:00,98766.2,98821.7,98758.2,98799.9,10.736,2025-06-23 00:29:59.999000,,,,
2025-06-23 00:30:00,98797.7,98799.9,98758.2,98774.1,12.532,2025-06-23 00:30:59.999000,,,,
2025-06-23 00:31:00,98774.1,98818.8,98765.1,98818.8,5.042,2025-06-23 00:31:59.999000,,,,
2025-06-23 00:32:00,98818.3,98946.4,98818.0,98888.1,39.67,2025-06-23 00:32:59.999000,,,,
